epoch,stage,train_loss,val_loss,elapsed_sec
1,stage1,1.224120,1.614242,382.0
2,stage1,1.208879,1.387294,408.2
3,stage1,1.224016,1.544282,422.5
4,stage2,1.099616,1.165197,1300.0
5,stage2,0.974735,1.199514,1304.2
6,stage2,0.907768,1.105993,1292.5
7,stage2,0.883865,1.157695,1293.2
8,stage2,0.848201,1.144436,1292.4
9,stage2,0.797010,1.186194,1293.8
10,stage2,0.748050,1.227332,1292.7
11,stage2,0.693858,1.385884,1300.4
12,stage2,0.688635,1.306519,1297.4
13,stage2,0.623676,1.467076,1294.8
14,stage2,0.598787,1.571219,1295.1
15,stage2,0.564686,1.602069,1294.5
